GGLA2 GATES GLACIER 61.602889 -143.013211 1237 m RAWS,,,,,,,,
Data provided by: Bureau of Land Management & Denali National Park,,,,,,,,
MesoWest Disclaimer,,,,,,,,
,,,,,,,,
Metric Units   Variable Descriptions,,,,,,,,
TMZN,DATE,DATENUM_EXCEL,MATLAB_DATENUM,DAYS_SINCE_START,TMPC,RELH,PREC,SNOW
AKD,4/1/14 0:33,40268.02292,735690.0229,0,-6.7,54,0,135.89
AKD,4/1/14 1:33,40268.06458,735690.0646,0.041666667,-7.2,55,0,135.89
AKD,4/1/14 2:33,40268.10625,735690.1063,0.083333333,-7.8,62,0,135.64
AKD,4/1/14 3:33,40268.14792,735690.1479,0.125,-7.8,59,0,135.89
AKD,4/1/14 4:33,40268.18958,735690.1896,0.166666667,-8.3,59,0,136.14
AKD,4/1/14 5:33,40268.23125,735690.2313,0.208333333,-8.3,60,0,135.89
AKD,4/1/14 6:33,40268.27292,735690.2729,0.25,-9.4,64,0,135.89
AKD,4/1/14 7:33,40268.31458,735690.3146,0.291666667,-9.4,61,0,135.89
AKD,4/1/14 8:33,40268.35625,735690.3563,0.333333333,-9.4,66,0,135.89
AKD,4/1/14 9:33,40268.39792,735690.3979,0.375,-8.9,62,0,135.64
AKD,4/1/14 10:33,40268.43958,735690.4396,0.416666667,-8.9,53,0,135.64
AKD,4/1/14 11:33,40268.48125,735690.4813,0.458333333,-6.1,50,0,135.13
AKD,4/1/14 12:33,40268.52292,735690.5229,0.5,-6.1,60,0,135.38
AKD,4/1/14 13:33,40268.56458,735690.5646,0.541666667,-5.6,56,0,135.38
AKD,4/1/14 14:33,40268.60625,735690.6063,0.583333333,-5.6,56,0,135.64
AKD,4/1/14 15:33,40268.64792,735690.6479,0.625,-4.4,47,0,134.62
AKD,4/1/14 16:33,40268.68958,735690.6896,0.666666667,-3.9,50,0,135.38
AKD,4/1/14 17:33,40268.73125,735690.7313,0.708333333,-4.4,60,0,135.64
AKD,4/1/14 18:33,40268.77292,735690.7729,0.75,-4.4,64,0,135.64
AKD,4/1/14 19:33,40268.81458,735690.8146,0.791666667,-5,55,0,135.64
AKD,4/1/14 20:33,40268.85625,735690.8563,0.833333333,-6.1,58,0,135.64
AKD,4/1/14 21:33,40268.89792,735690.8979,0.875,-6.7,56,0,135.64
AKD,4/1/14 22:33,40268.93958,735690.9396,0.916666667,-6.7,59,0,135.89
AKD,4/1/14 23:33,40268.98125,735690.9813,0.958333333,-7.2,61,0,135.89
AKD,4/2/14 0:33,40269.02292,735691.0229,1,-7.8,61,0,135.89
AKD,4/2/14 1:33,40269.06458,735691.0646,1.041666667,-7.8,62,0,135.64
AKD,4/2/14 2:33,40269.10625,735691.1063,1.083333333,-8.3,66,0,135.89
AKD,4/2/14 3:33,40269.14792,735691.1479,1.125,-8.9,66,0,135.89
AKD,4/2/14 4:33,40269.18958,735691.1896,1.166666667,-8.9,68,0,135.89
AKD,4/2/14 5:33,40269.23125,735691.2313,1.208333333,-9.4,65,0,135.89
AKD,4/2/14 6:33,40269.27292,735691.2729,1.25,-9.4,67,0,135.64
AKD,4/2/14 7:33,40269.31458,735691.3146,1.291666667,-9.4,66,0,135.64
AKD,4/2/14 8:33,40269.35625,735691.3563,1.333333333,-9.4,67,0,135.89
AKD,4/2/14 9:33,40269.39792,735691.3979,1.375,-7.8,55,0,135.38
AKD,4/2/14 10:33,40269.43958,735691.4396,1.416666667,-7.2,59,0,135.64
AKD,4/2/14 11:33,40269.48125,735691.4813,1.458333333,-5,41,0,134.62
AKD,4/2/14 12:33,40269.52292,735691.5229,1.5,-4.4,50,0,135.13
AKD,4/2/14 13:33,40269.56458,735691.5646,1.541666667,-4.4,53,0,135.13
AKD,4/2/14 14:33,40269.60625,735691.6063,1.583333333,-3.9,52,0,135.13
AKD,4/2/14 15:33,40269.64792,735691.6479,1.625,-5,52,0,135.38
AKD,4/2/14 16:33,40269.68958,735691.6896,1.666666667,-3.9,47,0,135.13
AKD,4/2/14 17:33,40269.73125,735691.7313,1.708333333,-4.4,64,0,135.38
AKD,4/2/14 18:33,40269.77292,735691.7729,1.75,-5,55,0,135.13
AKD,4/2/14 19:33,40269.81458,735691.8146,1.791666667,-6.1,61,0,135.64
AKD,4/2/14 20:33,40269.85625,735691.8563,1.833333333,-6.7,64,0,135.38
AKD,4/2/14 21:33,40269.89792,735691.8979,1.875,-7.2,65,0,135.64
AKD,4/2/14 22:33,40269.93958,735691.9396,1.916666667,-7.2,63,0,135.64
AKD,4/2/14 23:33,40269.98125,735691.9813,1.958333333,-7.8,62,0,135.64
AKD,4/3/14 0:33,40270.02292,735692.0229,2,-7.8,65,0,135.64
AKD,4/3/14 1:33,40270.06458,735692.0646,2.041666667,-7.8,64,0,135.64
AKD,4/3/14 2:33,40270.10625,735692.1063,2.083333333,-8.3,68,0,135.64
AKD,4/3/14 3:33,40270.14792,735692.1479,2.125,-8.3,65,0,135.64
AKD,4/3/14 4:33,40270.18958,735692.1896,2.166666667,-8.9,68,0,135.89
AKD,4/3/14 5:33,40270.23125,735692.2313,2.208333333,-8.9,69,0,135.64
AKD,4/3/14 6:33,40270.27292,735692.2729,2.25,-9.4,69,0,135.64
AKD,4/3/14 7:33,40270.31458,735692.3146,2.291666667,-9.4,69,0,135.64
AKD,4/3/14 8:33,40270.35625,735692.3563,2.333333333,-9.4,70,0,135.64
AKD,4/3/14 9:33,40270.39792,735692.3979,2.375,-8.3,58,0,135.38
AKD,4/3/14 10:33,40270.43958,735692.4396,2.416666667,-7.2,56,0,135.13
AKD,4/3/14 11:33,40270.48125,735692.4813,2.458333333,-6.1,55,0,135.38
AKD,4/3/14 12:33,40270.52292,735692.5229,2.5,-5.6,54,0,135.13
AKD,4/3/14 13:33,40270.56458,735692.5646,2.541666667,-3.3,55,0,134.87
AKD,4/3/14 14:33,40270.60625,735692.6063,2.583333333,-4.4,57,0,135.13
AKD,4/3/14 15:33,40270.64792,735692.6479,2.625,-3.9,58,0,135.38
AKD,4/3/14 16:33,40270.68958,735692.6896,2.666666667,-3.3,49,0,135.38
AKD,4/3/14 17:33,40270.73125,735692.7313,2.708333333,-2.8,63,0,135.38
AKD,4/3/14 18:33,40270.77292,735692.7729,2.75,-3.9,48,0,135.38
AKD,4/3/14 19:33,40270.81458,735692.8146,2.791666667,-3.9,39,0,135.13
AKD,4/3/14 20:33,40270.85625,735692.8563,2.833333333,-5,49,0,135.38
AKD,4/3/14 21:33,40270.89792,735692.8979,2.875,-6.1,47,0,135.38
AKD,4/3/14 22:33,40270.93958,735692.9396,2.916666667,-5.6,41,0,135.64
AKD,4/3/14 23:33,40270.98125,735692.9813,2.958333333,-6.1,47,0,135.38
AKD,4/4/14 0:33,40271.02292,735693.0229,3,-6.1,48,0,135.38
AKD,4/4/14 1:33,40271.06458,735693.0646,3.041666667,-6.7,42,0,135.64
AKD,4/4/14 2:33,40271.10625,735693.1063,3.083333333,-7.8,49,0,135.38
AKD,4/4/14 3:33,40271.14792,735693.1479,3.125,-7.8,48,0,135.64
AKD,4/4/14 4:33,40271.18958,735693.1896,3.166666667,-7.8,51,0,135.38
AKD,4/4/14 5:33,40271.23125,735693.2313,3.208333333,-7.8,46,0,135.38
AKD,4/4/14 6:33,40271.27292,735693.2729,3.25,-7.8,48,0,135.64
AKD,4/4/14 7:33,40271.31458,735693.3146,3.291666667,-7.2,45,0,135.64
AKD,4/4/14 8:33,40271.35625,735693.3563,3.333333333,-7.2,45,0,135.64
AKD,4/4/14 9:33,40271.39792,735693.3979,3.375,-6.7,42,0,135.38
AKD,4/4/14 10:33,40271.43958,735693.4396,3.416666667,-5.6,43,0,135.38
AKD,4/4/14 11:33,40271.48125,735693.4813,3.458333333,-3.9,38,0,135.13
AKD,4/4/14 12:33,40271.52292,735693.5229,3.5,-3.3,33,0,134.87
AKD,4/4/14 13:33,40271.56458,735693.5646,3.541666667,-3.3,50,0,135.38
AKD,4/4/14 14:33,40271.60625,735693.6063,3.583333333,-2.8,38,0,134.87
AKD,4/4/14 15:33,40271.64792,735693.6479,3.625,-3.9,48,0,135.13
AKD,4/4/14 16:33,40271.68958,735693.6896,3.666666667,-2.8,37,0,134.87
AKD,4/4/14 17:33,40271.73125,735693.7313,3.708333333,-3.9,47,0,135.38
AKD,4/4/14 18:33,40271.77292,735693.7729,3.75,-4.4,46,0,135.38
AKD,4/4/14 19:33,40271.81458,735693.8146,3.791666667,-3.9,37,0,135.13
AKD,4/4/14 20:33,40271.85625,735693.8563,3.833333333,-5,44,0,135.38
AKD,4/4/14 21:33,40271.89792,735693.8979,3.875,-5.6,44,0,135.38
AKD,4/4/14 22:33,40271.93958,735693.9396,3.916666667,-5.6,41,0,135.38
AKD,4/4/14 23:33,40271.98125,735693.9813,3.958333333,-6.1,41,0,135.38
AKD,4/5/14 0:33,40272.02292,735694.0229,4,-6.1,42,0,135.38
AKD,4/5/14 1:33,40272.06458,735694.0646,4.041666667,-6.1,41,0,135.38
AKD,4/5/14 2:33,40272.10625,735694.1063,4.083333333,-6.7,44,0,135.38
AKD,4/5/14 3:33,40272.14792,735694.1479,4.125,-6.1,45,0,135.38
AKD,4/5/14 4:33,40272.18958,735694.1896,4.166666667,-6.1,41,0,135.38
AKD,4/5/14 5:33,40272.23125,735694.2313,4.208333333,-6.1,46,0,135.38
AKD,4/5/14 6:33,40272.27292,735694.2729,4.25,-6.1,46,0,135.13
AKD,4/5/14 7:33,40272.31458,735694.3146,4.291666667,-6.7,53,0,135.38
AKD,4/5/14 8:33,40272.35625,735694.3563,4.333333333,-6.1,53,0,135.38
AKD,4/5/14 9:33,40272.39792,735694.3979,4.375,-5,47,0,135.13
AKD,4/5/14 10:33,40272.43958,735694.4396,4.416666667,-5,49,0,135.38
AKD,4/5/14 11:33,40272.48125,735694.4813,4.458333333,-2.8,40,0,134.87
AKD,4/5/14 12:33,40272.52292,735694.5229,4.5,-2.8,52,0,135.13
AKD,4/5/14 13:33,40272.56458,735694.5646,4.541666667,-3.3,55,0,135.13
AKD,4/5/14 14:33,40272.60625,735694.6063,4.583333333,-4.4,66,0,134.87
AKD,4/5/14 15:33,40272.64792,735694.6479,4.625,-3.9,85,0,135.13
AKD,4/5/14 16:33,40272.68958,735694.6896,4.666666667,-2.8,81,0,134.62
AKD,4/5/14 17:33,40272.73125,735694.7313,4.708333333,-1.7,94,0.05,137.16
AKD,4/5/14 18:33,40272.77292,735694.7729,4.75,-2.8,90,0,136.65
AKD,4/5/14 19:33,40272.81458,735694.8146,4.791666667,-2.8,94,0.03,137.41
AKD,4/5/14 20:33,40272.85625,735694.8563,4.833333333,-2.8,89,0,137.92
AKD,4/5/14 21:33,40272.89792,735694.8979,4.875,-3.3,92,0,138.18
AKD,4/5/14 22:33,40272.93958,735694.9396,4.916666667,-3.3,90,0,136.14
AKD,4/5/14 23:33,40272.98125,735694.9813,4.958333333,-3.3,86,0,138.18
AKD,4/6/14 0:33,40273.02292,735695.0229,5,-3.3,90,0,138.18
AKD,4/6/14 1:33,40273.06458,735695.0646,5.041666667,-3.3,96,0,137.16
AKD,4/6/14 2:33,40273.10625,735695.1063,5.083333333,-3.3,87,0,138.43
AKD,4/6/14 3:33,40273.14792,735695.1479,5.125,-3.3,88,0,138.18
AKD,4/6/14 4:33,40273.18958,735695.1896,5.166666667,-3.9,83,0,138.18
AKD,4/6/14 5:33,40273.23125,735695.2313,5.208333333,-3.9,89,0,138.18
AKD,4/6/14 6:33,40273.27292,735695.2729,5.25,-4.4,96,0,137.92
AKD,4/6/14 7:33,40273.31458,735695.3146,5.291666667,-4.4,96,0,138.68
AKD,4/6/14 8:33,40273.35625,735695.3563,5.333333333,-4.4,96,0,139.19
AKD,4/6/14 9:33,40273.39792,735695.3979,5.375,-4.4,92,0,140.46
AKD,4/6/14 10:33,40273.43958,735695.4396,5.416666667,-3.3,91,0,139.95
AKD,4/6/14 11:33,40273.48125,735695.4813,5.458333333,-2.8,93,0.15,139.7
AKD,4/6/14 12:33,40273.52292,735695.5229,5.5,-3.3,91,0.05,140.97
AKD,4/6/14 13:33,40273.56458,735695.5646,5.541666667,-2.8,74,0,141.48
AKD,4/6/14 14:33,40273.60625,735695.6063,5.583333333,-1.7,70,0,141.73
AKD,4/6/14 15:33,40273.64792,735695.6479,5.625,-1.1,76,0,140.72
AKD,4/6/14 16:33,40273.68958,735695.6896,5.666666667,-0.6,55,0,140.21
AKD,4/6/14 17:33,40273.73125,735695.7313,5.708333333,-1.7,87,0,140.21
AKD,4/6/14 18:33,40273.77292,735695.7729,5.75,-2.8,67,0,139.95
AKD,4/6/14 19:33,40273.81458,735695.8146,5.791666667,-2.2,63,0,140.21
AKD,4/6/14 20:33,40273.85625,735695.8563,5.833333333,-2.8,66,0,139.95
AKD,4/6/14 21:33,40273.89792,735695.8979,5.875,-3.3,66,0,140.21
AKD,4/6/14 22:33,40273.93958,735695.9396,5.916666667,-3.3,67,0,140.21
AKD,4/6/14 23:33,40273.98125,735695.9813,5.958333333,-3.9,60,0,140.21
AKD,4/7/14 0:33,40274.02292,735696.0229,6,-3.9,59,0,140.21
AKD,4/7/14 1:33,40274.06458,735696.0646,6.041666667,-3.9,45,0,140.21
AKD,4/7/14 2:33,40274.10625,735696.1063,6.083333333,-3.3,51,0,140.21
AKD,4/7/14 3:33,40274.14792,735696.1479,6.125,-3.9,54,0,140.21
AKD,4/7/14 4:33,40274.18958,735696.1896,6.166666667,-3.9,50,0,139.95
AKD,4/7/14 5:33,40274.23125,735696.2313,6.208333333,-3.9,60,0,139.95
AKD,4/7/14 6:33,40274.27292,735696.2729,6.25,-4.4,56,0,139.95
AKD,4/7/14 7:33,40274.31458,735696.3146,6.291666667,-4.4,51,0,139.95
AKD,4/7/14 8:33,40274.35625,735696.3563,6.333333333,-3.3,51,0,139.95
AKD,4/7/14 9:33,40274.39792,735696.3979,6.375,-3.9,59,0,139.95
AKD,4/7/14 10:33,40274.43958,735696.4396,6.416666667,-3.9,68,0,139.7
AKD,4/7/14 11:33,40274.48125,735696.4813,6.458333333,-3.3,66,0,139.7
AKD,4/7/14 12:33,40274.52292,735696.5229,6.5,-3.9,64,0,139.45
AKD,4/7/14 13:33,40274.56458,735696.5646,6.541666667,-5,78,0,139.7
AKD,4/7/14 14:33,40274.60625,735696.6063,6.583333333,-3.3,59,0,138.94
AKD,4/7/14 15:33,40274.64792,735696.6479,6.625,-2.8,63,0,139.45
AKD,4/7/14 16:33,40274.68958,735696.6896,6.666666667,-3.9,76,0,139.45
AKD,4/7/14 17:33,40274.73125,735696.7313,6.708333333,-3.3,89,0,139.7
AKD,4/7/14 18:33,40274.77292,735696.7729,6.75,-4.4,96,0.03,139.7
AKD,4/7/14 19:33,40274.81458,735696.8146,6.791666667,-5.6,98,0,140.21
AKD,4/7/14 20:33,40274.85625,735696.8563,6.833333333,-5.6,98,0,140.21
AKD,4/7/14 21:33,40274.89792,735696.8979,6.875,-5.6,98,0,140.97
AKD,4/7/14 22:33,40274.93958,735696.9396,6.916666667,-5.6,98,0,140.46
AKD,4/7/14 23:33,40274.98125,735696.9813,6.958333333,-5.6,98,0,141.48
AKD,4/8/14 0:33,40275.02292,735697.0229,7,-5.6,98,0,142.49
AKD,4/8/14 1:33,40275.06458,735697.0646,7.041666667,-5.6,98,0,144.78
AKD,4/8/14 2:33,40275.10625,735697.1063,7.083333333,-5.6,98,0,145.29
AKD,4/8/14 3:33,40275.14792,735697.1479,7.125,-6.1,97,0,145.54
AKD,4/8/14 4:33,40275.18958,735697.1896,7.166666667,-6.1,96,0,145.54
AKD,4/8/14 5:33,40275.23125,735697.2313,7.208333333,-6.1,93,0,147.07
AKD,4/8/14 6:33,40275.27292,735697.2729,7.25,-6.1,93,0,145.03
AKD,4/8/14 7:33,40275.31458,735697.3146,7.291666667,-6.1,91,0,145.03
AKD,4/8/14 8:33,40275.35625,735697.3563,7.333333333,-6.1,86,0,144.78
AKD,4/8/14 9:33,40275.39792,735697.3979,7.375,-5.6,78,0,144.78
AKD,4/8/14 10:33,40275.43958,735697.4396,7.416666667,-5.6,76,0,144.53
AKD,4/8/14 11:33,40275.48125,735697.4813,7.458333333,-4.4,69,0,144.78
AKD,4/8/14 12:33,40275.52292,735697.5229,7.5,-5,67,0.03,144.78
AKD,4/8/14 13:33,40275.56458,735697.5646,7.541666667,-3.9,73,0.23,144.53
AKD,4/8/14 14:33,40275.60625,735697.6063,7.583333333,-4.4,66,0,144.53
AKD,4/8/14 15:33,40275.64792,735697.6479,7.625,-3.9,84,0,144.53
AKD,4/8/14 16:33,40275.68958,735697.6896,7.666666667,-4.4,66,0,144.02
AKD,4/8/14 17:33,40275.73125,735697.7313,7.708333333,-3.9,51,0,143.26
AKD,4/8/14 18:33,40275.77292,735697.7729,7.75,-4.4,55,0,143.76
AKD,4/8/14 19:33,40275.81458,735697.8146,7.791666667,-5,52,0,143.76
AKD,4/8/14 20:33,40275.85625,735697.8563,7.833333333,-5.6,66,0,144.02
AKD,4/8/14 21:33,40275.89792,735697.8979,7.875,-6.7,78,0,143.26
AKD,4/8/14 22:33,40275.93958,735697.9396,7.916666667,-7.2,91,0,143.26
AKD,4/8/14 23:33,40275.98125,735697.9813,7.958333333,-7.8,97,0,143
AKD,4/9/14 0:33,40276.02292,735698.0229,8,-7.8,94,0,143
AKD,4/9/14 1:33,40276.06458,735698.0646,8.041666667,-8.3,98,0,143
AKD,4/9/14 2:33,40276.10625,735698.1063,8.083333333,-8.3,96,0,143
AKD,4/9/14 3:33,40276.14792,735698.1479,8.125,-8.9,97,0,142.75
AKD,4/9/14 4:33,40276.18958,735698.1896,8.166666667,-8.9,96,0,143.51
AKD,4/9/14 5:33,40276.23125,735698.2313,8.208333333,-8.9,95,0,144.27
AKD,4/9/14 6:33,40276.27292,735698.2729,8.25,-8.9,95,0,144.02
AKD,4/9/14 7:33,40276.31458,735698.3146,8.291666667,-8.9,95,0,145.03
AKD,4/9/14 8:33,40276.35625,735698.3563,8.333333333,-8.9,95,0,146.05
AKD,4/9/14 9:33,40276.39792,735698.3979,8.375,-8.9,93,0,146.05
AKD,4/9/14 10:33,40276.43958,735698.4396,8.416666667,-9.4,96,0,147.57
AKD,4/9/14 11:33,40276.48125,735698.4813,8.458333333,-8.9,95,0,147.83
AKD,4/9/14 12:33,40276.52292,735698.5229,8.5,-6.7,90,0.15,148.08
AKD,4/9/14 13:33,40276.56458,735698.5646,8.541666667,-7.8,87,0.03,148.59
AKD,4/9/14 14:33,40276.60625,735698.6063,8.583333333,-7.8,85,0,147.57
AKD,4/9/14 15:33,40276.64792,735698.6479,8.625,-7.2,82,0,147.83
AKD,4/9/14 16:33,40276.68958,735698.6896,8.666666667,-6.7,77,0,147.83
AKD,4/9/14 17:33,40276.73125,735698.7313,8.708333333,-7.2,72,0,147.32
AKD,4/9/14 18:33,40276.77292,735698.7729,8.75,-7.2,80,0,147.57
AKD,4/9/14 19:33,40276.81458,735698.8146,8.791666667,-8.3,77,0,146.81
AKD,4/9/14 20:33,40276.85625,735698.8563,8.833333333,-9.4,93,0,147.07
AKD,4/9/14 21:33,40276.89792,735698.8979,8.875,-11.7,93,0,147.57
AKD,4/9/14 22:33,40276.93958,735698.9396,8.916666667,-12.2,94,0,147.57
AKD,4/9/14 23:33,40276.98125,735698.9813,8.958333333,-12.8,92,0,147.83
AKD,4/10/14 0:33,40277.02292,735699.0229,9,-12.8,94,0,147.83
AKD,4/10/14 1:33,40277.06458,735699.0646,9.041666667,-13.3,91,0,148.08
AKD,4/10/14 2:33,40277.10625,735699.1063,9.083333333,-14.4,90,0,148.59
AKD,4/10/14 3:33,40277.14792,735699.1479,9.125,-15.6,94,0,148.84
AKD,4/10/14 4:33,40277.18958,735699.1896,9.166666667,-16.1,89,0,148.59
AKD,4/10/14 5:33,40277.23125,735699.2313,9.208333333,-16.7,88,0,148.59
AKD,4/10/14 6:33,40277.27292,735699.2729,9.25,-16.7,90,0,148.59
