DATENUM_EXCEL,MATLAB_DATENUM,TMPC
40178.02292,735600.0229,1.1
40178.06458,735600.0646,0.6
40178.10625,735600.1063,-0.6
40178.14792,735600.1479,-1.7
40178.18958,735600.1896,-1.7
40178.23125,735600.2313,-1.7
40178.27292,735600.2729,-1.7
40178.31458,735600.3146,-1.7
40178.35625,735600.3563,-1.1
40178.39792,735600.3979,-1.1
40178.43958,735600.4396,-1.1
40178.48125,735600.4813,-1.7
40178.52292,735600.5229,-2.8
40178.56458,735600.5646,-3.3
40178.60625,735600.6063,-3.9
40178.64792,735600.6479,-4.4
40178.68958,735600.6896,-3.9
40178.73125,735600.7313,-3.9
40178.77292,735600.7729,-3.9
40178.81458,735600.8146,-3.9
40178.85625,735600.8563,-3.9
40178.89792,735600.8979,-4.4
40178.93958,735600.9396,-4.4
40178.98125,735600.9813,-5
40179.02292,735601.0229,-5
40179.06458,735601.0646,-5
40179.10625,735601.1063,-5
40179.14792,735601.1479,-5
40179.18958,735601.1896,-5
40179.23125,735601.2313,-5.6
40179.27292,735601.2729,-5
40179.31458,735601.3146,-5
40179.35625,735601.3563,-5.6
40179.39792,735601.3979,-5.6
40179.43958,735601.4396,-5.6
40179.48125,735601.4813,-6.1
40179.52292,735601.5229,-5.6
40179.56458,735601.5646,-6.1
40179.60625,735601.6063,-6.1
40179.64792,735601.6479,-6.7
40179.68958,735601.6896,-7.2
40179.73125,735601.7313,-7.8
40179.77292,735601.7729,-7.8
40179.81458,735601.8146,-8.3
40179.85625,735601.8563,-8.3
40179.89792,735601.8979,-8.3
40179.93958,735601.9396,-8.3
40179.98125,735601.9813,-7.8
40180.02292,735602.0229,-7.8
40180.06458,735602.0646,-7.8
40180.10625,735602.1063,-7.8
40180.14792,735602.1479,-7.8
40180.18958,735602.1896,-8.3
40180.23125,735602.2313,-8.3
40180.27292,735602.2729,-8.3
40180.31458,735602.3146,-7.2
40180.35625,735602.3563,-6.1
40180.39792,735602.3979,-5.6
40180.43958,735602.4396,-5
40180.48125,735602.4813,-5
40180.52292,735602.5229,-4.4
40180.56458,735602.5646,-3.9
40180.60625,735602.6063,-3.3
40180.64792,735602.6479,-3.9
40180.68958,735602.6896,-3.9
40180.73125,735602.7313,-3.3
40180.77292,735602.7729,-3.9
40180.81458,735602.8146,-3.9
40180.85625,735602.8563,-4.4
40180.89792,735602.8979,-5
40180.93958,735602.9396,-5.6
40180.98125,735602.9813,-5
40181.02292,735603.0229,-5
40181.06458,735603.0646,-4.4
40181.10625,735603.1063,-4.4
40181.14792,735603.1479,-3.9
40181.18958,735603.1896,-3.9
40181.23125,735603.2313,-2.8
40181.27292,735603.2729,-2.8
40181.31458,735603.3146,-1.7
40181.35625,735603.3563,-2.2
40181.39792,735603.3979,-2.8
40181.43958,735603.4396,-3.3
40181.48125,735603.4813,-3.9
40181.52292,735603.5229,-5
40181.56458,735603.5646,-4.4
40181.60625,735603.6063,-3.9
40181.64792,735603.6479,-2.8
40181.68958,735603.6896,-2.8
40181.73125,735603.7313,-2.8
40181.77292,735603.7729,-2.8
40181.81458,735603.8146,-1.7
40181.85625,735603.8563,-2.2
40181.89792,735603.8979,-1.7
40181.93958,735603.9396,-2.2
40181.98125,735603.9813,-2.2
40182.02292,735604.0229,-2.2
40182.06458,735604.0646,-2.2
40182.10625,735604.1063,-2.2
40182.14792,735604.1479,-2.2
40182.18958,735604.1896,-1.7
40182.23125,735604.2313,-1.7
40182.27292,735604.2729,-1.7
40182.31458,735604.3146,-1.7
40182.35625,735604.3563,-1.7
40182.39792,735604.3979,-1.1
40182.43958,735604.4396,-1.1
40182.48125,735604.4813,-1.1
40182.52292,735604.5229,-1.1
40182.56458,735604.5646,-1.1
40182.60625,735604.6063,-0.6
40182.64792,735604.6479,-1.1
40182.68958,735604.6896,0
40182.73125,735604.7313,0
40182.77292,735604.7729,-0.6
40182.81458,735604.8146,-1.1
40182.85625,735604.8563,-1.1
40182.89792,735604.8979,-0.6
40182.93958,735604.9396,-0.6
40182.98125,735604.9813,-0.6
40183.02292,735605.0229,-1.1
40183.06458,735605.0646,-1.1
40183.10625,735605.1063,-1.1
40183.14792,735605.1479,-1.1
40183.18958,735605.1896,-1.1
40183.23125,735605.2313,-0.6
40183.27292,735605.2729,-0.6
40183.31458,735605.3146,0
40183.35625,735605.3563,-0.6
40183.39792,735605.3979,0
40183.43958,735605.4396,-0.6
40183.48125,735605.4813,-0.6
40183.52292,735605.5229,-0.6
40183.56458,735605.5646,-0.6
40183.60625,735605.6063,0
40183.64792,735605.6479,0.6
40183.68958,735605.6896,-1.1
40183.73125,735605.7313,-1.7
40183.77292,735605.7729,-1.7
40183.81458,735605.8146,-2.2
40183.85625,735605.8563,-2.2
40183.89792,735605.8979,-2.2
40183.93958,735605.9396,-2.8
40183.98125,735605.9813,-2.8
40184.02292,735606.0229,-2.8
40184.06458,735606.0646,-2.2
40184.10625,735606.1063,-2.2
40184.14792,735606.1479,-2.2
40184.18958,735606.1896,-2.2
40184.23125,735606.2313,-2.2
40184.27292,735606.2729,-2.8
40184.31458,735606.3146,-2.8
